# file...... V_tm_9.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 68,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,v1,v2
2009-07-23 22:00:00 PDT,466,-59.7552,103.858,-59.9149,103.95,-119.67,207.808,119.8214008,119.9808224
2009-07-23 22:30:00 PDT,1132,-59.5064,103.772,-59.8947,103.996,-119.401,207.768,119.6229059,120.0105958
2009-07-23 23:00:00 PDT,854,-59.638,103.81,-59.9308,103.978,-119.569,207.787,119.721373,120.0130213
2009-07-23 23:30:00 PDT,842,-59.4059,103.745,-59.6948,103.912,-119.101,207.657,119.5495127,119.8381112
2009-07-24 00:00:00 PDT,580,-59.7458,103.846,-59.9446,103.96,-119.69,207.805,119.8063117,120.0043194
2009-07-24 00:30:00 PDT,1156,-59.5434,103.772,-59.9399,104,-119.483,207.771,119.6413159,120.0366261
2009-07-24 01:00:00 PDT,521,-59.7844,103.854,-59.963,103.956,-119.747,207.81,119.8324989,120.0100467
2009-07-24 01:30:00 PDT,1430,-59.4499,103.736,-59.9405,104.018,-119.39,207.754,119.5635743,120.0525213
2009-07-24 02:00:00 PDT,372,-59.841,103.873,-59.9685,103.946,-119.809,207.82,119.8772097,120.0041329
2009-07-24 02:30:00 PDT,355,-59.8457,103.876,-59.9673,103.946,-119.813,207.822,119.8821554,120.0035332
2009-07-24 03:00:00 PDT,261,-59.8817,103.888,-59.9712,103.939,-119.853,207.827,119.9105272,119.999419
2009-07-24 03:30:00 PDT,326,-59.858,103.88,-59.9697,103.944,-119.828,207.823,119.8917619,120.0030002
2009-07-24 04:00:00 PDT,254,-59.8832,103.889,-59.9703,103.939,-119.854,207.828,119.9121427,119.9989692
2009-07-24 04:30:00 PDT,278,-59.8788,103.886,-59.9741,103.94,-119.853,207.826,119.9073463,120.0017344
2009-07-24 05:00:00 PDT,268,-59.8776,103.887,-59.9695,103.94,-119.847,207.827,119.9076134,119.9994355
2009-07-24 05:30:00 PDT,266,-59.8842,103.887,-59.9753,103.939,-119.86,207.826,119.9109093,120.001468
2009-07-24 06:00:00 PDT,331,-59.8551,103.879,-59.9686,103.944,-119.824,207.823,119.8894476,120.0024505
