# file...... V_tm_8.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 67,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,,
2009-07-23 10:30:00 PDT,511,-60.0498,-103.698,-60.0492,-103.9,-120.099,-207.597,119.8301034,120.0046517
2009-07-23 11:00:00 PDT,170,-60.0242,-103.833,-60.0239,-103.9,-120.048,-207.733,119.9341339,119.9919938
2009-07-23 11:30:00 PDT,486,-60.0522,-103.7,-60.0517,-103.892,-120.104,-207.591,119.8330369,119.9989764
2009-07-23 12:00:00 PDT,258,-60.0378,-103.784,-60.0374,-103.886,-120.075,-207.67,119.8985241,119.9866259
2009-07-23 12:30:00 PDT,403,-60.0569,-103.694,-60.0565,-103.854,-120.113,-207.548,119.8302002,119.9684813
2009-07-23 13:00:00 PDT,178,-60.0406,-103.797,-60.0403,-103.868,-120.081,-207.665,119.911179,119.9724929
2009-07-23 13:30:00 PDT,171,-60.0317,-103.82,-60.0315,-103.887,-120.063,-207.707,119.9266334,119.9845397
2009-07-23 14:00:00 PDT,167,-60.0768,-103.594,-60.0767,-103.66,-120.153,-207.254,119.7536585,119.8107069
2009-07-23 14:30:00 PDT,165,-60.0371,-103.811,-60.0369,-103.876,-120.074,-207.688,119.9215456,119.9777177
2009-07-23 15:00:00 PDT,162,-60.0324,-103.82,-60.0322,-103.884,-120.065,-207.704,119.9269838,119.9822924
2009-07-23 15:30:00 PDT,161,-60.0406,-103.808,-60.0404,-103.872,-120.081,-207.68,119.9207009,119.976006
2009-07-23 16:00:00 PDT,434,-60.0472,-103.721,-60.0467,-103.893,-120.094,-207.614,119.8487049,119.9973401
2009-07-23 16:30:00 PDT,262,-60.0413,-103.777,-60.041,-103.88,-120.082,-207.657,119.8942177,119.9832325
2009-07-23 17:00:00 PDT,159,-60.0406,-103.802,-60.0403,-103.865,-120.081,-207.668,119.9155071,119.9698956
2009-07-23 17:30:00 PDT,157,-60.0374,-103.815,-60.0372,-103.877,-120.075,-207.692,119.9251584,119.9787336
2009-07-23 18:00:00 PDT,124,-60.0391,-103.799,-60.0389,-103.848,-120.078,-207.646,119.9121592,119.9544773
2009-07-23 18:30:00 PDT,496,-60.0803,-103.64,-60.0798,-103.836,-120.16,-207.475,119.7952088,119.9645667
2009-07-23 19:00:00 PDT,1317,-60.1099,-103.373,-60.1093,-103.895,-120.219,-207.268,119.5791671,120.0304085
2009-07-23 19:30:00 PDT,448,-60.0606,-103.693,-60.0601,-103.87,-120.121,-207.563,119.8311893,119.9841344
2009-07-23 20:00:00 PDT,256,-60.0717,-103.718,-60.0714,-103.819,-120.143,-207.536,119.8583859,119.9456454
2009-07-23 20:30:00 PDT,226,-60.0482,-103.776,-60.048,-103.865,-120.096,-207.64,119.8968077,119.9737493
2009-07-23 21:00:00 PDT,228,-60.0362,-103.8,-60.0358,-103.89,-120.072,-207.689,119.9115729,119.9892886
2009-07-23 21:30:00 PDT,225,-60.035,-103.803,-60.0347,-103.892,-120.07,-207.695,119.913569,119.9904699
2009-07-23 22:00:00 PDT,555,-60.0559,-103.68,-60.0553,-103.899,-120.111,-207.578,119.8175844,120.0068384
2009-07-23 22:30:00 PDT,369,-60.058,-103.715,-60.0575,-103.861,-120.116,-207.576,119.848924,119.9750417
